Transaction  #,Transaction Date,Transaction Month,Transaction Year,SKU  #,Style  #,Description,Vendor Model,Vendor Name,Qty,Inventory Cost,Sales Amount,Disc Amt,Total,Store,Department,Design,Class,Sub-Class,
LO-10002287,6/30/2026,6,2026,223515Y,JR1496950G4WXENQ4-10,"14KT""NOVELLO-COLLECTION""  IGI CERT  LABGROWN DIAMOND MARQUISE BAGUETTE BRIDAL RING",JR1496950G4WXENQ4,KMA,1,"1,510.00","21,995.00","16,914.17","5,080.83",VJ-LONG,LADYS RING,NOVELLO,14KT,7,
SO-10290958,6/29/2026,6,2026,206534Y,SFBRDL063-1,"14KT""NOVELLO-COLLECTION""  LABGROWN DIAMOND QUAD BRIDAL SET",SFBRDL063,SNFLR,1,975,"10,995.00","8,783.59","2,211.41",VJ-SOLANO,LADYS RING,NOVELLO,14KT,7,
VF-10292708,7/1/2026,7,2026,236948,MV171W-3,"14KT""OVANI-COLLECTION""  IGI CERT LABGROWN DIAMOND HIDDEN HALO RADIANT BRIDAL SET",MV171W,VSU,1,"1,482.00","20,995.00","13,843.27","7,151.73",VJ-FRE,LADYS RING,OVANI,14KT,7,
PB-10291440,6/29/2026,6,2026,163508,KKP5956-15-1,14KT ROSE-GOLD FRANCO CHAIN (NO WARRANTY),KKP5956-15,KGS,1,213,"1,065.00",490,575,VJ-PB,GOLD CHAIN,GOLD JEWL,14KT,20,
VO-10292184,6/30/2026,6,2026,216238,JHE781-55FW70-3,"14KT""LABGROWN DIAMOND""  ENHANCER RING",JHE781-55FW70,JLX,1,247,"2,999.00","2,300.00",699,VJ-OAK,LADYS RING,NOVELLO,ENHANCER,7,
VI-10292532,6/29/2026,6,2026,042429590939,96A285,BULOVA OCTAVA WATCH,96A285,BULOVA,1,274,575,170.45,404.55,VJ-VICTOR,BULOVA,WATCH,MENS,BATTERY,
VI-10292532,6/29/2026,6,2026,042429561458,96C134,BULOVA WATCH,96C134,BULOVA,1,308.75,650,161.15,488.85,VJ-VICTOR,BULOVA,WATCH,MENS,BATTERY,
VM-10293030,7/1/2026,7,2026,217612,R12161643,RADO WATCH,R12161643,SWATCH GROUP RADO,1,"1,210.00","2,200.00",454.96,"1,745.04",VJ-MOD,RADO,WATCH,MENS,AUTOMATIC,
VI-10292530,6/29/2026,6,2026,222313Y,EVRR-0447VA34Y4-1,"14KT""LABGROWN DIAMOND""  TRIO SET",EVRR-0447VA34Y4,HRSH,1,"1,383.00","15,499.00","12,970.26","2,528.74",VJ-VICTOR,TRIO,NOVELLO,14KT,,
GM-10292981,7/1/2026,7,2026,219637Y,P233025W-4,"10KT""BELLA.BY.OVANI"" LABGROWN DIAMOND CROSS PENDANT",P233025W,PNT,1,161,"2,150.00",0,"2,150.00",DBC-GM,PENDANT,BELLA OVAN,10KT,CROSS,
SO-10290963,6/30/2026,6,2026,237326Y,EVEBS100VK5W0-1,"10KT""UV-NOVELLO"" LABGROWN DIAMOND RBC SOLITIARE STUDS",EVEBS100VK5W0,HRSH,1,160,"1,899.00","1,340.35",558.65,VJ-SOLANO,EARRINGS,NOVELLO,SOL STUDS,1.00 CARAT,
SO-10290963,6/30/2026,6,2026,212881,NL239041W,"14KT""NOVELLO-COLLECTION""  LABGROWN DIAMOND PAPERCLIP NECKLACE",NL239041W,PNT,1,167,"1,899.00","1,308.29",590.71,VJ-SOLANO,FANCY NECK,NOVELLO,14KT,,
SO-10290963,6/30/2026,6,2026,225877Y,EVPF-8814VXA34W4-26,"14KT""BELLA.BY.OVANI"" IGI CERT LABGROWN DIAMOND ROUND SOLITIARE PENDANT",EVPF-8814VXA34W4,HRSH,1,865,"9,995.00","7,090.60","2,904.40",VJ-SOLANO,FANCY NECK,BELLA OVAN,14KT,,
SO-10290963,6/30/2026,6,2026,215600,RL244057W,"14KT""LABGROWN DIAMOND""  ENHANCER",RL244057W,PNT,1,31,"6,599.00","4,683.99","1,915.01",VJ-SOLANO,LADYS RING,NOVELLO,14KT,7,
SO-10290963,6/30/2026,6,2026,184230,JGVI000043-1-2,14KT YELLOW GOLD CURB ID BRACELET (NO WARRANTY),JGVI000043-1,KGS,1,258,"1,290.00",645,645,VJ-SOLANO,GOLD ID,GOLD JEWL,14KT,6,
SO-10290957,6/29/2026,6,2026,239191,MRF05001341,"10KT""LABGROWN DIAMOND""  RBC CHANNEL MENS BAND",MRF05001341,MHVR,1,569,"4,799.00","3,699.00","1,100.00",VJ-SOLANO,GENTS RING,NOVELLO,10KT,10,
SO-10290955,6/29/2026,6,2026,236266-7.5,PSL-244,10KT YELLOW-GOLD HEART CHARM ID BRACELET ( NO WARRANTY ),PSL-244,TRCO,1,143,715,215,500,VJ-SOLANO,GOLD ID,GOLD JEWL,10KT,7.5,
AT-10290421,6/29/2026,6,2026,231622S,MV066-SL,"SILVER""LAB-GROWN"" DIAMOND ULTIMATE VALUE HOOPS",MV066-SL,VSU,1,126,299.55,0,299.55,VJ-S.ANITA,EARRINGS,NOVELLO,UV,HOOPS,
RE-10292289,6/30/2026,6,2026,228334,1TNDC233825A001,"SS""LINKNLOCK"" BLACK CZ CROSS PENDANT",1TNDC233825A001,KRMA,1,13,179,0,179,VJ-RENO,SS PNDTS,LINKNLOCK,-,CROSS,
SL-10294123,6/29/2026,6,2026,197937-9,KKP5419-2-11,14KT YELLOW-GOLD PAVE CURB BRACELET,KKP5419-2,KGS,1,627,"3,135.00","1,435.00","1,700.00",DE-SOUTH,GOLD ID,GOLD JEWL,14KT,9,
VB-10291238,7/1/2026,7,2026,204016-26,762-20005-2,14KT YELLOW-GOLD DIAMOND ROSARY,762-20005,SFCO,1,"2,562.00","28,499.00","25,127.18","3,371.82",VJ-BAKER,FANCY NECK,GOLD JEWL,14KT,26,
VS-10291877,6/29/2026,6,2026,228029S,MBR01500344,SILVER LABGROWN DIAMOND LOVE-SPELL CURB BRACELET,MBR01500344,MHVR,1,43,319,0,319,VJ-SERRA,LADYS BRCL,LOVE,"""--""",7,
IN-10291068,7/1/2026,7,2026,196349Y,P224150W025-2,10KT HEART DIAMOND PENDANT,P224150W025,PNT,1,147,"1,799.00","1,432.10",366.9,VJ-INLND,PENDANT,,10KT,HEART,
VS-10291881,6/30/2026,6,2026,210084-18,PEARL-SILVER-6-7MM,"SILVER ""LOVE-SPELL"" 6-7MM-ROUND FRESHWATER PEARL NECKLACE (NO WARRANTY)",PEARL-SILVER-6-7MM,ENS,1,26,115,0,115,VJ-SERRA,BP,LOVE,PEARL,BIRTHSTONE,
VM-10293034,7/1/2026,7,2026,233319,EVRE-18435VXA34W4-36,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND PEAR HALO BRIDAL RING",EVRE-18435VXA34W4,HRSH,1,"1,019.00","12,995.00","10,423.36","2,571.64",VJ-MOD,LADYS RING,NOVELLO,14KT,7,
VO-10292190,7/1/2026,7,2026,233522Y,RE2737YR-2,14KT”AANIKA.V”  RUBY 0.60CT CLOVER STUDS EARRINGS,RE2737YR,RCN,1,340,"3,799.00","3,100.00",699,VJ-OAK,BE,AANIKA.V,RUBY,BIRTHSTONE,
PB-10291443,6/30/2026,6,2026,229715,ORAG38620,SILVER LOVE-SPELL HOOPS EARRINGS ( NO WARRANTY ),ORAG38620,LGTS,1,17,68,0,68,VJ-PB,SILVER ERG,LOVE,,20,
PB-10291443,6/30/2026,6,2026,228955S,MBR25000329,SILVER LABGROWN DIAMOND LINKNLOCK CUBAN BRACELET,MBR25000329,MHVR,1,283,"1,389.00",417,972,VJ-PB,MENS BRCLT,LINKNLOCK,,CUBAN,
VB-10291235,6/29/2026,6,2026,195495,665-00056-30MM,14KT YELLOW-GOLD FANCY HOOPS (NO WARRANTY),665-00056-30MM,SFCO,1,246,"1,230.00",768.11,461.89,VJ-BAKER,GOLD HOOPS,GOLD JEWL,14KT,HOOPS,
ON-10292075,6/29/2026,6,2026,178406R,MER15000069-2,14KT FLOWER STYLE EARRINGS,MER15000069,MHVR,1,549,"6,999.00","5,620.61","1,378.39",VJ-ONT,EARRINGS,,,FLOWER,
DB-10000004,6/30/2026,6,2026,216490,TR-932,TUNGSTEN BAND 8MM,TR-932,JD,1,12,299,200,99,VJ-DEER,TUNGS BAND,,,8,
SO-10290962,6/30/2026,6,2026,231038,JPO069610,"10KT""NOVELLO-COLLECTION"" LABGROWN DIAMOND ROUND SOLITAIRE PENDANT",JPO069610,KMA,1,231,"2,599.00","1,809.00",790,VJ-SOLANO,PENDANT,NOVELLO,SOL PNDT,,
ON-10292074,6/29/2026,6,2026,232151,EVBT-2414VA44W0,"10KT""NOVELLO-COLLECTION""  LABGROWN DIAMOND TENNIS BRACELET",EVBT-2414VA44W0,HRSH,1,663,"7,499.00","5,999.00","1,500.00",VJ-ONT,LADYS BRCL,NOVELLO,TENNIS,7,
SL-10294121,6/29/2026,6,2026,233959Y,LG-RG3013Y,"14KT""NOVELLO-COLLECTION"" IGI CERT LABGROWN DIAMOND PRINCESS BRIDAL RING",LG-RG3013Y,SAF,1,969,"12,995.00","8,931.79","4,063.21",DE-SOUTH,LADYS RING,NOVELLO,14KT,7,
GM-10292975,6/29/2026,6,2026,8.85997E+11,2600142,MOVADO WATCH,2600142,MOVADO,1,777.4,"1,395.00",62.27,"1,332.73",DBC-GM,MOVADO,WATCH,MENS,BATTERY,
RE-10292290,7/1/2026,7,2026,208973Y,P224037W020-4,"10KT""NOVELLO-COLLECTION""  LABGROWN DIAMOND INITIAL ""M""  PENDANT",P224037W020,PNT,1,178,"2,099.00","1,437.19",661.81,VJ-RENO,PENDANT,NOVELLO,10KT,INITIAL,
VS-10291885,7/1/2026,7,2026,221723,221723,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",LGE+PEA2.00,KRA,1,503,"10,995.00","8,495.01","2,499.99",VJ-SERRA,LADYS RING,NOVELLO,SOL RING,2.00 CARAT,
VS-10291885,7/1/2026,7,2026,216215,RPAB1/4-16,"14KT""LABGROWN DIAMOND""  ROUND-PRONG ANNIVERSARY BAND",RPAB1/4,JLX,1,259,"2,899.00","2,399.01",499.99,VJ-SERRA,LADYS RING,NOVELLO,AB,7,
NO-10001210,6/29/2026,6,2026,153821W,RCAB1/2-20,14KT ROUND-CHANNEL ANNIVERSARY BAND,RCAB1/2,JLX,1,624,"6,899.00","5,167.79","1,731.21",VJ-NORTH,LADYS RING,,AB,7,
NO-10001210,6/29/2026,6,2026,SLCF15014KW12,SLCF15014KW12,"14KT""BENCHMARK""  SUPER LIGHT GOLD BAND 5MM",SLCF15014KW12,BENCHMARK,1,484,"2,178.00","1,175.72","1,002.28",VJ-NORTH,GOLD BANDS,PLAIN,14KT,12,
VF-10292703,6/30/2026,6,2026,218089Y,EVYEH-0004VA44W4-1,"14KT""LABGROWN DIAMOND""  DANGLING EARRINGS",EVYEH-0004VA44W4,HRSH,1,369,"4,399.00","3,499.00",900,VJ-FRE,EARRINGS,NOVELLO,14KT,,
VF-10292703,6/30/2026,6,2026,235164Y,MV137W-11,"14KT""OVANI-COLLECTION""  IGI CERT LABGROWN DIAMOND OVAL AND PEAR BRIDAL RING",MV137W,VSU,1,902,"11,995.00","9,585.34","2,409.66",VJ-FRE,LADYS RING,OVANI,14KT,7,
IN-10291064,6/29/2026,6,2026,231040Y,JMR096310-1,"10KT""NOVELLO-COLLECTION"" LABGROWN DIAMOND 2ROW MENS BAND",JMR096310,KMA,1,434,"4,899.00","3,899.00","1,000.00",VJ-INLND,GENTS RING,NOVELLO,10KT,10,
IN-10291064,6/29/2026,6,2026,207876,SFRG172,"10KT""UV-NOVELLO""  LABGROWN DIAMOND RBC BRIDAL RING",SFRG172,SNFLR,1,400,"4,499.00","3,499.00","1,000.00",VJ-INLND,LADYS RING,NOVELLO,UV,7,
NO-10001211,6/29/2026,6,2026,228473-8.5,1TBGN251656A001,"SS""LINKNLOCK"" MIAMI CUBAN BRACELET",1TBGN251656A001,KRMA,1,13,79,0.64,78.36,VJ-NORTH,SS BRCL,LINKNLOCK,-,CUBAN,
VI-10292534,6/30/2026,6,2026,198971-26,UKPB000068-6-5,14KT YELLOW-GOLD D/C HLW ROPE CHAIN,UKPB000068-6,KGS,1,"2,038.00","10,190.00","9,034.00","1,156.00",VJ-VICTOR,GOLD CHAIN,GOLD JEWL,14KT,26,
PA-10001353,7/1/2026,7,2026,231622S,MV066-SL,"SILVER""LAB-GROWN"" DIAMOND ULTIMATE VALUE HOOPS",MV066-SL,VSU,1,126,299,0,299,VJ-PALM,EARRINGS,NOVELLO,UV,HOOPS,
VI-10292539,7/1/2026,7,2026,208954,P224036W020-3,"10KT""LABGROWN DIAMOND""  INITIAL ""L""  PENDANT",P224036W020,PNT,1,168,"1,899.00","1,329.30",569.7,VJ-VICTOR,PENDANT,NOVELLO,10KT,INITIAL,
VL-10291016,6/30/2026,6,2026,207490,R30008742,RADO WATCH,R30008742,SWATCH GROUP RADO,1,"1,650.00","3,000.00",600,"2,400.00",VJ-LIV,RADO,WATCH,MENS,AUTOMATIC,
VS-10291880,6/30/2026,6,2026,238843Y,ANAF0527,"10KT""ETERNAL VOW""  LABGROWN DIAMOND OVAL PROMISE RING",ANAF0527,INFN,1,86,"1,199.00",816.75,382.25,VJ-SERRA,LADYS RING,,10KT,7,
VB-10291236,6/29/2026,6,2026,236934Y,MV207W-9,"14KT""OVANI-COLLECTION""  IGI CERT LABGROWN DIAMOND HIDDEN HALO RADIANT BRIDAL SET",MV207W,VSU,1,"1,854.00","26,995.00","18,896.50","8,098.50",VJ-BAKER,LADYS RING,OVANI,14KT,7,
ST-10292308,6/30/2026,6,2026,225397,139-04540,"14KT""OROVENTI"" YELLOW-GOLD BANGLE (NO WARRANTY)",139-04540,SFCO,1,560,"1,819.00",0,"1,819.00",DBC-STOCK,GOLD BANGL,OROVENTI,14KT,,
VV-10292144,7/1/2026,7,2026,6.91464E+11,MK8295,MICHAEL KORS,MK8295,MICHAEL KORS WATCHES,1,125,250,84.1,165.9,VJ-VIS,MICHAEL KO,WATCH,MENS,,
DB-10000002,6/30/2026,6,2026,227617V,MPD01001270-1,SILVER LABGROWN DIAMOND LOVE-SPELL VERMEIL INITIAL HEART PENDANT (NO WARRANTY),MPD01001270,MHVR,1,54,249,50,199,VJ-DEER,PENDANT,LOVE,"""--""",HEART,
VM-10293025,6/30/2026,6,2026,238892,238892,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",LGE+PEA3.00,KRA,1,622,"12,995.00","9,495.00","3,500.00",VJ-MOD,LADYS RING,NOVELLO,SOL RING,3.00 CARAT,
DB-10000006,7/1/2026,7,2026,234573Y,TL253025W-1,"10KT""BELLA.BY.OVANI""  LABGROWN DIAMOND MARQUISE TENNIS BRACELET",TL253025W,PNT,1,600,"7,499.00","4,700.00","2,799.00",VJ-DEER,LADYS BRCL,BELLA OVAN,10KT,7.25,
DB-10000006,7/1/2026,7,2026,238939,238939,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",LGE+MAR3.00,KRA,1,643,"12,995.00","10,196.00","2,799.00",VJ-DEER,LADYS RING,NOVELLO,SOL RING,3.00 CARAT,
SL-10294130,6/30/2026,6,2026,211435-26,UKPN100028-4,14KT YELLOW-GOLD D/C HLW ROPE CHAIN (NO WARRANTY),UKPN100028,KGS,1,448,"2,240.00","1,156.48","1,083.52",DE-SOUTH,GOLD CHAIN,GOLD JEWL,14KT,26,
IN-10291065,6/29/2026,6,2026,223063,EVEP015VK5W-6,"14KT""UV-NOVELLO"" LABGROWN DIAMOND PC SOLITIARE STUDS",EVEP015VK5W,HRSH,1,86,949,765.09,183.91,VJ-INLND,EARRINGS,NOVELLO,SOL STUDS,0.50 LESS,
PB-10291442,6/30/2026,6,2026,240443Y,EVBT-2414VA44Y0-8A,"10KT""NOVELLO-COLLECTION""  LABGROWN DIAMOND TENNIS BRACELET",EVBT-2414VA44Y0-8A,HRSH,1,693,"11,995.00","9,195.00","2,800.00",VJ-PB,LADYS BRCL,NOVELLO,10KT,8,
SL-10294136,7/1/2026,7,2026,153811Y,RPAB1/4-14,14KT ROUND-PRONG ANNIVERSARY BAND,RPAB1/4,JLX,1,323,"3,599.00","2,549.35","1,049.65",DE-SOUTH,LADYS RING,,AB,7,
SL-10294136,7/1/2026,7,2026,14010KY12,14010KY12,"10KT ""BENCHMARK"" GOLD BAND 4MM TRADITIONAL OVAL",14010KY12,BENCHMARK,1,279,"1,256.00",362.25,893.75,DE-SOUTH,GOLD BANDS,PLAIN,10KT,12,
VO-10292185,6/30/2026,6,2026,225385-24,GR 120 6L-3,"SILVER ""LINKNLOCK"" CURB CHAIN",GR 120 6L,COAR,1,97,388,38,350,VJ-OAK,SLVR CHAIN,LINKNLOCK,-,24,
CH-10002289,7/1/2026,7,2026,228546,ER-LGE+RBC2.00-184,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND RBC SOLITAIRE STUDS",ER-LGE+RBC2.00,KRA,1,431,"6,995.00","5,595.00","1,400.00",VJ-CHAND,EARRINGS,NOVELLO,SOL STUDS,2.00 CARAT,
GM-10292978,6/30/2026,6,2026,233080Y,JR149830FG4WXENQ4-4,"10KT""BELLA.BY.OVANI"" LABGROWN DIAMOND ROUND BRIDAL RING",JR149830FG4WXENQ4,KMA,1,156,"1,899.00","1,260.81",638.19,DBC-GM,LADYS RING,BELLA OVAN,10KT,7,
