SKU  #,Vendor Model,Vendor  #,Item Desc,Store,Onhand Qty
188324,PT8,OB,14KT 2TONE-GOLD CRUCIFIX CROSS PENDANT,VJ-BAKER,1
188323,XTC04-4,OB,14KT 2TONE-GOLD CRUCIFIX CROSS PENDANT,VJ-BAKER,1
158062,FD-14,OB,14KT TRI-COLOR GOLD SWEET 15 PENDANT,VJ-BAKER,1
187800,PT318,OB,14KT YELLOW-GOLD VIRGIN MARY PENDANT,VJ-BAKER,1
187756,PT317,OB,14KT YELLOW-GOLD TRI-COLOR-GUADALUPE PENDANT,VJ-BAKER,1
158058,DR37-15,OB,14KT 2TONE-GOLD CZ SWEET15 PENDANT,VJ-BAKER,1
187967,DMR-35,OB,14KT YELLOW-GOLD VIRGIN MARY ROUND PENDANT,VJ-BAKER,1
187943,MTFT5-C317,OB,14KT TRICOLOR-GOLD CZ ST. JUDE PENDANT,VJ-BAKER,1
187764,MOCB3-C517-GUADALUPE,OB,14KT YELLOW-GOLD CZ GUADALUPE PENDANT,VJ-BAKER,1
187965,MO3-F,OB,14KT TRICOLOR-GOLD VIRGIN MARY OVAL PENDANT,VJ-BAKER,1
187770,PT296,OB,14KT YELLOW-GOLD TRI-COLOR-GUADALUPE ROUND MEDAL PENDANT,VJ-BAKER,1
188041,PT1350,OB,14KT WHITE-GOLD D/C CRUCIFIX CROSS PENDANT,VJ-BAKER,1
187762,XM34,OB,14KT YELLOW-GOLD CRUCIFIX CROSS PENDANT,VJ-BAKER,1
187946,PT837,OB,14KT YELLOW-GOLD CRUCIFIX CROSS PENDANT,VJ-BAKER,1
166079,XTL01,OB,14KT YELLOW-GOLD CROSS PENDANT,VJ-OAK,1
192203,KM-5,OB,14KT 2TONE-GOLD D/C CRUCIFIX CROSS PENDANT,VJ-OAK,1
187769,PT1425,OB,14KT YELLOW-GOLD CRUCIFIX CROSS PENDANT,VJ-OAK,1
187794,MR12-C,OB,14KT YELLOW-GOLD 2TONE GUADALUPE ROUND MEDAL PENDANT,VJ-OAK,1
192198,XM30,OB,14KT YELLOW-GOLD MARINER'S ANCHOR CRUCIFIX PENDANT,VJ-OAK,1
187963,DMR-41,OB,14KT YELLOW-GOLD JESUS PENDANT,VJ-OAK,1
187945,MTFT5-C312,OB,14KT TWO TONE-GOLD MULTICOLOR CZ JESUS OVAL PENDANT,VJ-DEER,1
188053,MRT2-B,OB,14KT YELLOW-GOLD VIRGIN MARY PENDANT,VJ-DEER,1
187967,DMR-35,OB,14KT YELLOW-GOLD VIRGIN MARY ROUND PENDANT,VJ-DEER,1
187751,P57-3,OB,14KT YELLOW-GOLD RELIGIOUS DOUBLE SIDED PENDANT,VJ-DEER,1
189422,MR11,OB,14KT TRICOLOR-GOLD VIRGIN MARY ROUND PENDANT,VJ-DEER,1
187750,MR4-E,OB,14KT YELLOW-GOLD RELIGIOUS PENDANT,VJ-DEER,1
187943,MTFT5-C317,OB,14KT TRICOLOR-GOLD CZ ST. JUDE PENDANT,DBC-GM,1
187750,MR4-E,OB,14KT YELLOW-GOLD RELIGIOUS PENDANT,DBC-GM,1
187764,MOCB3-C517-GUADALUPE,OB,14KT YELLOW-GOLD CZ GUADALUPE PENDANT,DBC-GM,1
187806,MO8-C,OB,14KT YELLOW-GOLD D/C VIRGIN MARY OVAL PENDANT,DBC-GM,1
187794,MR12-C,OB,14KT YELLOW-GOLD 2TONE GUADALUPE ROUND MEDAL PENDANT,DBC-GM,1
167607,679,OB,14KT TRICOLOR-GOLD SACRED HEART JESUS PENDANT,DBC-GM,1
187762,XM34,OB,14KT YELLOW-GOLD CRUCIFIX CROSS PENDANT,DBC-GM,1
188046,MO6-B,OB,14KT TRICOLOR-GOLD D/C VIRGIN MARY OVAL PENDANT,DBC-GM,1
192202,DSJ-5,OB,14KT 2TONE-GOLD CZ ST. JUDE PENDANT,DBC-GM,1
166077,XM8,OB,14KT-GOLD CROSS PENDANT,DBC-GM,1
187943,MTFT5-C317,OB,14KT TRICOLOR-GOLD CZ ST. JUDE PENDANT,VJ-SERRA,1
158072,DQ7,OB,14KT YELLOW-GOLD 15-ANOS CZ PENDANT,VJ-HEND,1
188325,PT842,OB,14KT WHITE-GOLD CRUCIFIX CROSS PENDANT,VJ-HEND,1
187796,XM5,OB,14KT TRI-COLOR-GOLD CRUCIFIX CROSS PENDANT,VJ-HEND,1
187794,MR12-C,OB,14KT YELLOW-GOLD 2TONE GUADALUPE ROUND MEDAL PENDANT,VJ-SERRA,1
189422,MR11,OB,14KT TRICOLOR-GOLD VIRGIN MARY ROUND PENDANT,VJ-SERRA,1
187806,MO8-C,OB,14KT YELLOW-GOLD D/C VIRGIN MARY OVAL PENDANT,VJ-SERRA,1
187787,MO5-B,OB,14KT TRICOLOR-GOLD ST. JUDE OVAL PENDANT,VJ-SERRA,1
187762,XM34,OB,14KT YELLOW-GOLD CRUCIFIX CROSS PENDANT,VJ-SERRA,1
187750,MR4-E,OB,14KT YELLOW-GOLD RELIGIOUS PENDANT,VJ-SERRA,1
